,Company Name,Listed,HQ Country,GICS Sector,Accounting Year End,Reported Scope 1 tCO2e,Estimated Scope 1 tCO2e,Scope 1 source,Scope 1 quality flag,Reported market-based Scope 2 tCO2e,Note,Reported location-based Scope 2 tCO2e,Estimated location-based Scope 2 tCO2e,Location-based Scope 2 source,Location-based Scope 2 quality flag,Scope 2 company comments,GHG revenue intensity tCO2e/mmUSD,Scope 2 figure used for intensity,amplification.wordsindex,DeAmplification.wordsindex,HE_negativeindex,HE_positiveindex,angerindex,anticipationindex,disgustindex,fearindex,joyindex,sadnessindex,surpriseindex,trustindex,LMnegativeindex,LMpositiveindex,LMuncertaintyindex,BasicNegativeWordsindex,PositivePolarisedindex,NegativePolarisedindex,PowerWordsindex,PrudentialNegativeindex,PrudentialPositiveindex,PrudentialTopNegativeindex,Strategyindex,Financial.termsindex,Regulationindex,Technologyindex,Healthcareindex,Environmentindex,Socialindex,Governanceindex,ESGindex,LMuncertaintyindex.1,Regulationindex.1,Environmentindex.1,Socialindex.1,Governanceindex.1,ESGindex.1,ISIN lower,2016vol,2017vol,2018vol,2019vol,VolFactor,Carbon Emission  tCO2e/mmUSD,Scope 1 tCO2e,Scope 2 tCO2e,Scope 1 and 2 tCO2e,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Telecommunication Services,Utilities
1,Sociedad Comercial del Plata SA,Yes,Argentina,Energy,31/12/2016,0.0,1400.0,Estimated: Gamma GLM,2.0,, NA ,0.0,3000.0,Estimated: IEA National Grid Emissions Factor applied to Estimated SHEC.,3.0,,26.03,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,arp290071462,0.023033331,0.023078571000000003,0.033899447,0.021699852000000002,0.178446115,26.03088209,1400.0,3000.0,4400.0,0,0,1,0,0,0,0,0,0,0,0
2,Banco de Galicia y Buenos Aires S.A.,Yes,Argentina,Financials,31/12/2016,933.37,0.0,Reported: CDP (Not Reviewed),,, NA ,27626.0,0.0,Reported: CDP (Not Reviewed),,,7.97,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,,,,,,0.0,7.9688410329999995,933.37,27626.0,28559.37,0,0,0,1,0,0,0,0,0,0,0
3,YPF SA,Yes,Argentina,Energy,31/12/2016,0.0,12000000.0,"Estimated: Oil & Gas Extraction, O&G  Refining",6.0,, NA ,0.0,1200000.0,"Estimated: Oil & Gas Extraction, O&G  Refining",6.0,,926.11,Location-based,48,84,165,110,102,123,221,87,69,86,102,72,89,62,75,98,73,98,94,55,89,170,0,98,111,14,0,87,26,130,90,0.23,0.12,0.23,0.07,0.13,0.27,arp9897x1319,0.024062683999999997,0.021262862,0.030650056000000002,0.029234937000000003,0.064661654,926.1117198999999,12000000.0,1200000.0,13200000.0,0,0,1,0,0,0,0,0,0,0,0
4,Australia Post,Yes,Australia,Industrials,30/06/2016,119338.0,0.0,Reported: CDP (Not Reviewed),,, NA ,169447.0,0.0,Reported: CDP (Not Reviewed),,"Total scope 2 emissions have been calculated using the location based emissions factor for 2016. Our total scope 2 emissions have reduced by 12,473 tonnes, 7%.",59.91,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,0,,,,,0.0,59.90836697,119338.0,169447.0,288785.0,0,0,0,0,0,1,0,0,0,0,0
5,AGL Energy,Yes,Australia,Utilities,30/06/2016,43258798.0,0.0,Reported: CDP (Reviewed),7.0,"526,294.70",  ,526700.0,0.0,Reported: CDP (Reviewed),7.0,"Market-based scope 2 emissions were calculated by netting out 100% green power purchases from our Eastwood and Burwood offices (372 MWh), and using state-based emissions factors for the remaining electricity consumption.",5390.04,Market-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,au000000agl7,0.013876003999999999,0.012526839,0.013893823999999999,0.013355581000000002,0.49273183,5390.042347,43258798.0,526700.0,43785498.0,0,0,0,0,0,0,0,0,0,0,1
6,Aristocrat Leisure,Yes,Australia,Consumer Discretionary,29/09/2016,0.0,21000.0,Estimated: Gamma GLM,3.0,, NA ,0.0,54000.0,Estimated: IEA National Grid Emissions Factor applied to Estimated SHEC.,2.0,,47.82,Location-based,114,35,20,143,135,98,76,99,112,64,89,94,73,119,70,71,113,71,87,86,94,0,316,99,75,266,0,65,"1,375",70,451,0.26,0.24,0.0,0.15,0.01,0.14,au000000all7,0.019772341000000002,0.013992191999999999,0.018361547,0.019043973999999998,0.254385965,47.82095833,21000.0,54000.0,75000.0,1,0,0,0,0,0,0,0,0,0,0
7,ALS,Yes,Australia,Industrials,30/03/2017,0.0,12000.0,Estimated: Gamma GLM,4.0,, NA ,0.0,3700.0,Estimated: IEA National Grid Emissions Factor applied to Estimated SHEC.,5.0,,16.39,Location-based,123,190,71,78,115,78,145,87,83,64,86,79,106,93,113,84,103,84,88,98,153,364,31,90,36,10,75,186,0,40,80,0.08,0.19,0.25,0.21,0.15,0.11,,,,,,0.0,16.39258679,12000.0,3700.0,15700.0,0,0,0,0,0,1,0,0,0,0,0
8,Amcor,Yes,Australia,Materials,30/06/2016,357318.0,0.0,Reported: CDP (Reviewed),7.0,"1,221,815.00",  ,1222218.0,0.0,Reported: CDP (Reviewed),7.0,Amcor is currently purchasing green electricity at two sites in Europe.,167.61,Market-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,au000000amc4,0.017259023000000002,0.010541297,0.011097533,0.008157854,0.659649123,167.6130683,357318.0,1222218.0,1579536.0,0,0,0,0,0,0,0,1,0,0,0
9,AMP,Yes,Australia,Financials,31/12/2016,69.0,0.0,Reported: CDP (Reviewed),7.0,, NA ,11789.0,0.0,Reported: CDP (Reviewed),7.0,,1.08,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,au000000amp6,0.017409557,0.011278594,0.023377494,0.026657431000000002,0.08596491199999999,1.078997582,69.0,11789.0,11858.0,0,0,0,1,0,0,0,0,0,0,0
10,Ansell,Yes,Australia,Health Care,01/06/2017,141634.0,0.0,Reported: CDP (Not Reviewed),,"111,773.00",  ,111512.0,0.0,Reported: CDP (Not Reviewed),,,184.36,Market-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,,,,,,0.0,184.36304109999998,141634.0,111512.0,253146.0,0,0,0,0,1,0,0,0,0,0,0
